13A,25,VA,3
13C,11,DC,3
200,12,NC,1
210,20,KY,2
23H,16,MI,1
120,45,DC,1
13A,50,MN,2
23D,39,ND,1
13C,5,NB,1
13C,20,AR,17
13C,18,DE,2
13C,9,ME,1
13C,3,MI,7
13C,55,MN,4
13A,20,OR,4
120,20,WA,3
120,10,WA,1
13C,11,MI,16
13B,15,WA,5
13A,23,WV,1
13A,21,MD,3
13C,19,NJ,2
23H,5,OH,1
220,20,OR,2
13B,21,WI,1
13A,50,CO,2
13B,7,LA,2
13A,25,LA,1
13C,14,SC,1
13C,2,MN,2
23F,25,WA,1
13B,25,AL,3
290,4,KS,5
120,25,MN,2
13A,20,NV,12
13C,53,VA,7
13B,24,NV,1
13A,21,VA,1
520,24,AZ,1
40B,14,CT,1
200,4,MI,2
26E,20,SC,1
13B,23,ND,2
13C,1,CO,1
13A,48,VA,1
13B,51,CT,1
290,14,ND,1
240,18,ND,1
120,1,CA,6
13A,20,CO,23
290,1,CT,2
120,10,KY,2
290,20,MO,67
23H,52,MS,1
290,5,NC,9
200,4,NJ,2
23C,12,OH,2
13C,13,SC,9
290,4,TN,17
290,24,CO,1
13C,25,NM,1
13B,10,UT,1
220,4,NH,1
13B,18,DC,1
13A,1,SC,1
13B,6,VA,1
290,52,CO,7
23H,25,CT,1
290,18,KS,4
13B,3,LA,2
23F,13,ND,1
290,20,ND,10
520,1,WA,1
13B,22,AL,3
290,5,CT,7
13C,7,CT,5
13A,2,FL,2
13B,11,IL,1
23H,18,CA,2
290,18,IN,4
13B,17,TN,2
23H,8,MA,3
13A,9,TX,1
13A,13,CA,324
13B,11,CT,3
290,25,DC,11
13A,14,GA,1
13B,20,MA,87
13C,12,MI,2
220,20,ND,1
13A,25,NJ,3
290,9,OH,3
13B,52,RI,2
290,10,SD,2
290,15,WA,2
240,20,WV,1
290,4,AK,1
13B,18,IN,4
13B,21,ME,1
13B,21,MN,5
13C,5,MN,7
290,3,MO,1
13A,20,UT,2
13B,20,WY,1
35B,25,KY,1
13A,53,MO,1
13C,4,PA,3
23H,8,PA,1
13B,52,CO,1
13B,7,FL,1
13A,4,IL,1
290,23,MA,1
13A,22,KS,2
13C,4,MA,6
200,4,MN,1
270,20,ND,1
35B,25,TN,4
13A,8,TN,1
120,18,WI,1
13C,12,NJ,10
13A,17,AL,1
13B,11,AL,1
23C,8,KY,6
13C,55,MI,6
13C,24,TN,1
290,19,TX,1
11A,20,MN,1
290,24,OR,1
23H,18,TX,1
13B,55,VA,2
13B,11,DC,1
13C,52,IN,2
23D,20,CT,1
120,13,CT,4
13C,4,CT,5
290,20,ID,14
290,16,MA,4
13B,14,MI,7
290,5,MI,6
290,22,MO,3
13A,20,ND,6
290,20,NJ,126
23H,20,OK,1
23F,20,SC,2
26C,25,TN,1
13C,17,WA,1
23C,17,WI,1
13A,18,ID,1
13A,14,MO,1
290,20,NB,16
13B,10,NB,1
290,50,PA,1
23H,25,RI,1
13B,12,SC,3
23C,7,AZ,1
13C,56,CA,1
13C,10,FL,1
11D,20,ND,1
13B,24,NJ,2
35B,22,UT,1
13A,50,LA,1
13B,5,UT,1
13B,52,WI,1
35A,8,MA,1
290,20,AR,8
120,13,FL,3
13A,11,MD,1
13B,22,MS,1
120,18,NJ,1
13A,18,TN,11
290,11,WA,10
11A,20,AL,1
23H,1,KY,2
13C,12,MA,2
290,10,VA,2
120,5,WI,1
23H,11,CT,1
13C,8,IN,1
13A,13,WV,2
13A,53,KY,1
35A,18,MA,2
13C,50,TX,1
23D,52,WI,1
13B,6,KY,1
13B,13,DC,93
13C,22,DC,1
290,18,GA,1
13C,18,IL,4
290,4,PA,3
13B,13,VA,36
13B,20,WI,14
290,14,IN,1
13C,14,PA,2
13B,11,WI,1
290,56,CA,1
11D,25,MA,1
290,20,LA,2
23C,25,SC,1
13A,7,TN,4
23F,52,OH,1
220,17,OH,1
13A,11,WA,2
290,1,AZ,5
290,51,CA,2
290,20,CT,56
13A,1,MA,3
13C,20,ME,38
13A,13,MT,5
23H,25,SC,3
13B,53,SC,6
13B,1,UT,5
13B,3,VT,1
13B,39,DC,1
26C,25,LA,1
26C,2,MI,1
13C,18,NB,1
250,7,TN,1
13C,9,WV,1
13A,21,IN,1
23H,24,TN,2
11D,20,AZ,1
13B,25,GA,1
290,23,AZ,1
290,8,CA,6
13B,5,KY,2
13B,14,ND,2
13B,20,SC,35
23F,20,TN,2
13B,18,UT,6
120,25,AL,1
220,46,CA,1
13C,7,IL,4
270,24,MI,1
23D,1,MI,1
220,5,TX,1
23C,23,MT,1
13C,14,OH,4
120,52,MI,1
220,4,AZ,1
13B,20,CA,110
13C,23,CA,12
13C,12,CO,4
13B,13,KY,41
13A,50,KY,3
13C,18,MA,17
13B,20,ME,11
290,20,NC,73
200,20,NJ,2
13B,15,NJ,1
13C,53,OH,21
250,7,SC,1
23C,8,TN,6
23C,12,TN,7
13C,18,VA,2
13C,1,WA,8
13C,17,CO,2
